model,data_points,observations,mae,weighted_mae,rmse,weighted_rmse,bias,weighted_bias
Maia simulation,5589,356026,0.11830144504270444,0.10042068242924215,0.15322085826039583,0.13227222259382648,0.024094821774546204,0.02945370703827927
Stockfish WDL,5589,356026,0.10219922239996711,0.07962861841550897,0.1387854235152382,0.11221090966642115,-0.013915520766207006,-0.011825123726918827
