model,groups,raw_top1_accuracy,posterior_top1_accuracy,mean_probability_choice_is_best,mean_posterior_expected_regret,mean_raw_empirical_regret,high_confidence_groups,high_confidence_accuracy
Maia simulation,1446,0.4024896265560166,0.3969571230982019,0.38463782849239286,0.09435298862737346,0.07116816842316691,392,0.5382653061224489
Stockfish WDL,1446,0.3948824343015214,0.38105117565698476,0.37708447441217147,0.09540058099922948,0.07232617315267145,392,0.5280612244897959
