rating_bucket,model,data_points,observations,mae,weighted_mae,rmse,weighted_rmse,bias,weighted_bias
1400-1599,Maia simulation,734,25952,0.1359564963113726,0.1257745059155886,0.17293661758282908,0.1587232996798138,0.01639160778863454,0.013357532824942992
1400-1599,Stockfish WDL,734,25952,0.11928412846190874,0.10360409602342786,0.1621317950713917,0.1466968804283097,-0.03182606963549319,-0.036833442509247846
1600-1799,Maia simulation,1527,77080,0.12371148149480357,0.10761339003533306,0.15871750026984097,0.1401281836793376,0.022447983589646607,0.0236063113679936
1600-1799,Stockfish WDL,1527,77080,0.10784902184273018,0.08926694992215879,0.1468521168351419,0.1257077836311445,-0.019017889376401392,-0.025173384795018176
1800-1999,Maia simulation,1694,136450,0.1099941353097012,0.095664281527592,0.14321741755791792,0.12628875035317105,0.022362361198412953,0.03217695017824985
1800-1999,Stockfish WDL,1694,136450,0.09451120583306147,0.07392187980945401,0.12901483188755505,0.1050429723445687,-0.013972680647460642,-0.011051832172957134
2000-2199,Maia simulation,1156,91592,0.11146051358509244,0.09620394672251782,0.14345184795909305,0.12688709644561302,0.03167690972715002,0.035285788429571106
2000-2199,Stockfish WDL,1156,91592,0.09530322472769201,0.07436455694820508,0.12646824849136418,0.10116571421851525,-0.0010718747778561812,0.0016363383264913897
2200-2399,Maia simulation,478,24952,0.11989300604510854,0.09332040311236602,0.16013449039269992,0.1283076053038458,0.028987657583668763,0.027958301708443423
2200-2399,Stockfish WDL,478,24952,0.10183878008809223,0.07544844100673292,0.13522984884996053,0.10272334996593062,-0.0009715169709496901,0.0017778735171529263
