rating_bucket,rating_midpoint,positions,observations,error_rate_50cp,best_move_rate,not_best_move_rate
1400-1599,1500,386,33368,0.2268340925437545,0.27412491009350276,0.7258750899064973
1600-1799,1700,491,88454,0.16280778709837881,0.34861057724919164,0.6513894227508084
1800-1999,1900,496,149977,0.11551104502690412,0.41420351120505144,0.5857964887949486
2000-2199,2100,461,101207,0.07888782396474552,0.4677146837669331,0.5322853162330669
2200-2399,2300,337,28833,0.049491901640481395,0.5155897756043423,0.48441022439565773
